temperature,rain,time
7.0,0,10/04/2018 06:00
7.0,0,10/04/2018 06:30
7.0,0,10/04/2018 07:00
7.0,0,10/04/2018 07:30
7.0,0,10/04/2018 08:00
7.0,0,10/04/2018 08:30
7.0,0,10/04/2018 09:00
7.0,0,10/04/2018 09:30
7.0,0,10/04/2018 10:00
7.0,0,10/04/2018 10:30
7.0,0,10/04/2018 11:00
7.5,0,10/04/2018 11:30
7.5,0,10/04/2018 12:00
7.0,0,10/04/2018 12:30
7.0,0,10/04/2018 13:00
7.0,0,10/04/2018 13:30
7.0,0,10/04/2018 14:00
7.0,0,10/04/2018 14:30
7.0,0,10/04/2018 14:30
7.0,0,10/04/2018 15:00
7.0,0,10/04/2018 16:00
7.0,0,10/04/2018 16:00
7.0,0,10/04/2018 16:00
7.45,0.1075,10/04/2018 18:00
7.45,0.1075,10/04/2018 18:28
7.45,0.1075,10/04/2018 18:56
7.73,0.11,10/04/2018 19:30
7.73,0.11,10/04/2018 20:00
7.0,0,10/04/2018 20:00
7.0,0,10/04/2018 20:30
7.0,0,10/04/2018 21:00
7.0,0,10/04/2018 21:30
7.0,0,10/04/2018 22:00
7.0,0,10/04/2018 22:30
7.0,0,10/04/2018 23:00
7.0,0,10/04/2018 23:30
7.0,0,11/04/2018 00:00
7.0,0,11/04/2018 00:30
7.0,0,11/04/2018 01:00
7.0,0,11/04/2018 01:30
7.0,0,11/04/2018 02:00
7.0,0,11/04/2018 02:30
7.0,0,11/04/2018 03:00
7.0,0,11/04/2018 03:30
7.0,0,11/04/2018 04:00
7.0,0,11/04/2018 04:30
7.0,0,11/04/2018 05:00
7.0,0,11/04/2018 05:30
7.0,0,11/04/2018 06:00
7.0,0,11/04/2018 06:30
7.5,0,11/04/2018 07:00
7.5,0,11/04/2018 07:30
8.0,0,11/04/2018 08:00
8.0,0,11/04/2018 08:30
8.0,0,11/04/2018 09:00
8.0,0,11/04/2018 09:30
7.5,0,11/04/2018 10:00
7.0,0,11/04/2018 11:00
7.0,0,11/04/2018 11:30
7.0,0,11/04/2018 12:00
7.5,0,11/04/2018 12:30
8.0,0,11/04/2018 13:00
8.0,0,11/04/2018 13:30
8.0,0,11/04/2018 14:00
8.0,0,11/04/2018 14:30
8.0,0,11/04/2018 14:30
8.0,0,11/04/2018 15:00
8.0,0,11/04/2018 16:00
8.0,0,11/04/2018 16:30
7.63,0,11/04/2018 17:00
7.0,0,11/04/2018 17:30
7.0,0,11/04/2018 18:00
7.0,0,11/04/2018 18:30
7.0,0,11/04/2018 19:00
7.0,0,11/04/2018 19:30
7.0,0,11/04/2018 20:00
7.0,0,11/04/2018 20:00
7.0,0,11/04/2018 20:30
7.0,0,11/04/2018 21:00
7.0,0,11/04/2018 22:00
7.0,0,11/04/2018 22:30
7.0,0,11/04/2018 23:00
7.0,0,11/04/2018 23:30
7.0,0,12/04/2018 00:00
7.0,0,12/04/2018 00:30
7.0,0,12/04/2018 01:00
7.0,0,12/04/2018 01:30
7.0,0,12/04/2018 02:00
7.0,0,12/04/2018 02:30
7.0,0,12/04/2018 03:00
6.0,0,12/04/2018 03:30
6.37,0,12/04/2018 04:00
6.0,0,12/04/2018 04:30
6.0,0,12/04/2018 05:00
6.0,0,12/04/2018 05:30
6.0,0,12/04/2018 06:00
6.0,0,12/04/2018 06:30
6.0,0,12/04/2018 07:00
6.0,0,12/04/2018 07:30
6.44,0,12/04/2018 08:00
7.0,0,12/04/2018 08:30
7.0,0,12/04/2018 09:00
7.0,0,12/04/2018 09:30
7.0,0,12/04/2018 10:00
7.0,0,12/04/2018 11:00
7.0,0,12/04/2018 11:30
7.0,0,12/04/2018 12:00
7.0,0,12/04/2018 12:30
7.0,0,12/04/2018 13:00
7.0,0,12/04/2018 14:00
7.0,0,12/04/2018 14:30
7.0,0,12/04/2018 15:00
7.0,0,12/04/2018 15:30
7.0,0,12/04/2018 16:00
7.0,0,12/04/2018 16:30
7.0,0,12/04/2018 17:00
7.0,0,12/04/2018 17:30
7.0,0,12/04/2018 18:00
7.0,0,12/04/2018 18:30
7.0,0,12/04/2018 19:00
7.0,0,12/04/2018 19:30
7.0,0,12/04/2018 20:00
7.0,0,12/04/2018 20:30
7.0,0,12/04/2018 21:00
7.0,0,12/04/2018 22:00
7.0,0,12/04/2018 22:30
7.0,0,12/04/2018 23:00
7.0,0,12/04/2018 23:30
7.0,0,13/04/2018 00:00
7.0,0,13/04/2018 00:30
7.0,0,13/04/2018 01:00
7.0,0,13/04/2018 01:30
7.0,0,13/04/2018 02:00
6.58,0,13/04/2018 02:30
6.51,0,13/04/2018 03:00
6.64,0,13/04/2018 04:00
6.56,0,13/04/2018 04:30
6.64,0,13/04/2018 05:00
6.0,0,13/04/2018 05:30
6.0,0,13/04/2018 06:00
6.0,0,13/04/2018 06:30
6.0,0,13/04/2018 06:30
6.0,0,13/04/2018 07:00
6.0,0,13/04/2018 07:30
6.0,0,13/04/2018 08:00
6.51,0,13/04/2018 08:30
7.0,0,13/04/2018 09:00
7.0,0,13/04/2018 09:30
7.0,0,13/04/2018 10:30
7.51,0,13/04/2018 10:30
7.51,0,13/04/2018 11:00
8.51,0,13/04/2018 11:30
8.51,0,13/04/2018 12:00
8.51,0,13/04/2018 12:30
8.51,0,13/04/2018 13:00
8.51,0,13/04/2018 13:30
8.51,0,13/04/2018 14:00
9.0,0,13/04/2018 14:30
8.51,0,13/04/2018 15:00
9.13,0,13/04/2018 16:00
8.56,0,13/04/2018 16:30
8.63,0,13/04/2018 17:00
9.12,0,13/04/2018 17:30
9.27,0,13/04/2018 18:00
9.13,0,13/04/2018 18:30
7.5,0,13/04/2018 19:00
7.56,0,13/04/2018 19:30
7.5,0,13/04/2018 20:00
7.56,0,13/04/2018 20:30
7.5,0,13/04/2018 21:00
7.56,0,13/04/2018 21:30
8.01,0,13/04/2018 22:00
8.13,0,13/04/2018 22:30
8.28,0,13/04/2018 23:00
8.0,0,14/04/2018 00:00
8.51,0,14/04/2018 00:00
8.17,0,14/04/2018 00:30
8.51,0,14/04/2018 01:00
8.17,0,14/04/2018 01:30
8.0,0,14/04/2018 02:00
8.0,0,14/04/2018 02:30
6.51,0,14/04/2018 03:00
6.28,0,14/04/2018 04:00
6.69,0,14/04/2018 04:30
6.75,0,14/04/2018 04:30
6.52,0,14/04/2018 05:00
6.9,0,14/04/2018 06:00
6.52,0,14/04/2018 06:00
7.16,0,14/04/2018 06:30
9.58,0,14/04/2018 07:30
10.58,0,14/04/2018 08:30
11.0,0,14/04/2018 09:00
10.58,0,14/04/2018 09:30
11.0,0,14/04/2018 10:30
11.0,0,14/04/2018 11:00
11.51,0,14/04/2018 11:00
12.0,0,14/04/2018 11:30
12.51,0,14/04/2018 12:00
12.16,0,14/04/2018 12:30
12.01,0,14/04/2018 13:00
12.17,0,14/04/2018 13:30
11.51,0,14/04/2018 14:00
11.58,0,14/04/2018 14:30
12.0,0,14/04/2018 15:00
11.58,0,14/04/2018 15:30
11.56,0,14/04/2018 16:30
11.64,0,14/04/2018 17:00
11.56,0,14/04/2018 17:30
11.63,0,14/04/2018 18:00
10.28,0,14/04/2018 19:00
9.51,0,14/04/2018 19:00
9.58,0,14/04/2018 19:30
10.01,0,14/04/2018 20:00
10.17,0,14/04/2018 20:30
9.01,0,14/04/2018 21:00
9.17,0,14/04/2018 21:30
8.51,0,14/04/2018 22:00
9.0,0,14/04/2018 22:30
9.51,0,14/04/2018 23:00
9.17,0,14/04/2018 23:30
9.01,0,15/04/2018 00:00
9.16,0,15/04/2018 00:30
8.51,0,15/04/2018 01:00
8.58,0,15/04/2018 01:30
8.51,0,15/04/2018 02:00
8.58,0,15/04/2018 02:30
8.58,0,15/04/2018 03:30
8.56,0,15/04/2018 04:30
8.58,0,15/04/2018 04:30
8.51,0,15/04/2018 05:00
8.58,0,15/04/2018 05:30
9.0,0,15/04/2018 06:30
9.0,0,15/04/2018 07:00
8.58,0,15/04/2018 07:30
9.51,0,15/04/2018 08:00
9.58,0,15/04/2018 08:30
8.51,0,15/04/2018 09:00
8.58,0,15/04/2018 09:30
9.51,0,15/04/2018 10:00
9.58,0,15/04/2018 10:30
9.51,0,15/04/2018 11:00
9.58,0,15/04/2018 11:30
9.51,0,15/04/2018 12:00
9.58,0,15/04/2018 12:30
10.01,0,15/04/2018 13:00
10.17,0,15/04/2018 13:30
10.01,0,15/04/2018 14:00
10.16,0,15/04/2018 14:30
11.01,0,15/04/2018 15:00
11.17,0,15/04/2018 15:30
11.52,0,15/04/2018 16:00
11.33,0,15/04/2018 16:30
11.01,0,15/04/2018 17:00
11.16,0,15/04/2018 17:30
10.01,0,15/04/2018 18:00
10.16,0,15/04/2018 18:30
10.01,0,15/04/2018 19:00
10.16,0,15/04/2018 19:30
10.0,0,15/04/2018 20:30
10.0,0,15/04/2018 21:00
10.0,0,15/04/2018 21:30
10.0,0,15/04/2018 22:00
10.0,0,15/04/2018 22:30
10.0,0,15/04/2018 23:00
10.0,0,15/04/2018 23:30
10.0,0,16/04/2018 00:00
10.0,0,16/04/2018 00:30
9.49,0,16/04/2018 01:00
9.0,0,16/04/2018 01:30
9.0,0,16/04/2018 02:00
9.0,0,16/04/2018 02:30
9.0,0,16/04/2018 03:30
8.49,0,16/04/2018 04:00
8.0,0,16/04/2018 04:30
7.49,0,16/04/2018 05:00
7.42,0,16/04/2018 05:30
7.49,0,16/04/2018 06:00
7.42,0,16/04/2018 06:30
8.0,0,16/04/2018 07:00
9.0,0,16/04/2018 07:30
10.0,0,16/04/2018 08:30
11.0,0,16/04/2018 09:00
11.0,0,16/04/2018 09:30
11.0,0,16/04/2018 10:00
11.49,0,16/04/2018 10:30
12.49,0,16/04/2018 11:00
12.0,0,16/04/2018 11:30
12.51,0,16/04/2018 12:00
12.0,0,16/04/2018 12:30
12.0,0,16/04/2018 13:00
12.0,0,16/04/2018 13:30
12.0,0,16/04/2018 14:00
12.0,0,16/04/2018 14:30
12.0,0,16/04/2018 15:00
12.0,0,16/04/2018 15:30
11.0,0,16/04/2018 16:30
11.0,0,16/04/2018 17:00
11.0,0,16/04/2018 17:00
11.0,0,16/04/2018 17:30
10.51,0,16/04/2018 18:00
10.58,0,16/04/2018 18:30
10.51,0,16/04/2018 19:00
10.58,0,16/04/2018 19:30
10.0,0,16/04/2018 20:00
10.0,0,16/04/2018 20:30
10.51,0,16/04/2018 21:00
10.58,0,16/04/2018 21:30
10.51,0,16/04/2018 22:00
10.58,0,16/04/2018 22:30
10.51,0,16/04/2018 23:00
10.5,0,17/04/2018 00:00
10.56,0,17/04/2018 00:30
11.5,0,17/04/2018 01:00
11.64,0,17/04/2018 02:00
11.51,0,17/04/2018 02:00
12.0,0,17/04/2018 02:30
12.0,0,17/04/2018 03:00
12.0,0,17/04/2018 03:30
11.49,0,17/04/2018 04:00
11.42,0,17/04/2018 04:30
11.49,0,17/04/2018 05:00
11.0,0,17/04/2018 05:30
11.0,0,17/04/2018 06:00
11.0,0,17/04/2018 06:30
11.49,0,17/04/2018 07:00
11.42,0,17/04/2018 07:30
11.49,0,17/04/2018 08:00
12.0,0,17/04/2018 08:30
12.49,0,17/04/2018 09:00
12.49,0,17/04/2018 09:30
13.0,0,17/04/2018 10:00
13.49,0,17/04/2018 10:30
14.0,0,17/04/2018 11:00
15.0,0,17/04/2018 11:30
15.0,0,17/04/2018 12:00
15.0,0,17/04/2018 12:30
15.0,0,17/04/2018 13:00
15.0,0,17/04/2018 13:30
15.49,0,17/04/2018 14:00
15.51,0,17/04/2018 14:30
15.0,0,17/04/2018 15:00
15.0,0,17/04/2018 15:30
15.0,0,17/04/2018 16:00
15.0,0,17/04/2018 16:30
14.0,0,17/04/2018 17:00
14.0,0,17/04/2018 17:30
13.0,0,17/04/2018 18:00
13.0,0,17/04/2018 18:30
12.49,0,17/04/2018 19:00
12.0,0,17/04/2018 19:30
11.49,0,17/04/2018 20:00
11.42,0,17/04/2018 20:30
11.49,0,17/04/2018 21:00
11.42,0,17/04/2018 21:30
11.0,0,17/04/2018 22:00
11.0,0,17/04/2018 22:30
11.0,0,17/04/2018 23:00
11.0,0,17/04/2018 23:30
11.0,0,18/04/2018 00:00
11.0,0,18/04/2018 00:30
10.58,0,18/04/2018 01:30
11.51,0,18/04/2018 02:00
11.17,0,18/04/2018 02:30
10.51,0,18/04/2018 03:00
10.58,0,18/04/2018 03:30
11.01,0,18/04/2018 04:00
11.17,0,18/04/2018 04:30
11.01,0,18/04/2018 05:00
11.58,0,18/04/2018 05:30
12.0,0,18/04/2018 06:30
12.36,0,18/04/2018 07:00
13.0,0,18/04/2018 07:30
13.36,0,18/04/2018 08:00
13.49,0,18/04/2018 08:30
14.0,0,18/04/2018 09:00
13.51,0,18/04/2018 09:30
14.01,0,18/04/2018 10:00
14.02,0,18/04/2018 10:30
15.02,0,18/04/2018 11:00
15.01,0,18/04/2018 11:30
14.52,0,18/04/2018 12:00
15.52,0,18/04/2018 12:30
16.52,0,18/04/2018 13:00
18.49,0,18/04/2018 13:30
17.02,0,18/04/2018 14:00
17.52,0,18/04/2018 14:30
17.52,0,18/04/2018 15:00
16.53,0,18/04/2018 16:00
17.32,0,18/04/2018 16:30
16.52,0,18/04/2018 17:00
17.58,0,18/04/2018 17:30
17.0,0,18/04/2018 18:00
17.0,0,18/04/2018 18:30
16.0,0,18/04/2018 19:00
16.0,0,18/04/2018 19:30
13.99,0,18/04/2018 20:00
13.0,0,18/04/2018 20:30
13.49,0,18/04/2018 21:00
13.42,0,18/04/2018 21:30
13.49,0,18/04/2018 22:00
13.42,0,18/04/2018 22:30
12.49,0,18/04/2018 23:00
12.0,0,18/04/2018 23:30
12.49,0,19/04/2018 00:00
12.42,0,19/04/2018 00:30
11.0,0,19/04/2018 01:30
12.0,0,19/04/2018 02:00
12.0,0,19/04/2018 02:30
10.51,0,19/04/2018 03:00
9.75,0,19/04/2018 03:30
9.52,0,19/04/2018 04:00
9.75,0,19/04/2018 04:30
10.02,0,19/04/2018 05:00
10.74,0,19/04/2018 05:30
11.01,0,19/04/2018 06:00
11.58,0,19/04/2018 06:30
12.01,0,19/04/2018 07:00
12.01,0,19/04/2018 07:30
14.0,0,19/04/2018 08:30
14.49,0,19/04/2018 09:00
14.49,0,19/04/2018 09:30
13.99,0,19/04/2018 10:00
14.51,0,19/04/2018 10:30
15.51,0,19/04/2018 11:00
16.0,0,19/04/2018 11:30
